Type,Total,Indiv
"[0.1, 0.1, 0.1, 0.1]",9.111222753631399,0.0009328626947014458
"[0.1, 0.1, 0.1, 0.3]",9.111222753631399,0.002176679620970038
"[0.1, 0.1, 0.1, 0.5]",9.111222753631399,0.002591285263059564
"[0.1, 0.1, 0.1, 0.7]",9.111222753631399,0.002176679620970035
"[0.1, 0.1, 0.1, 0.9]",9.111222753631399,0.0009328626947014493
"[0.1, 0.1, 0.3, 0.1]",9.111222753631399,0.002378676259016716
"[0.1, 0.1, 0.3, 0.3]",9.111222753631399,0.005550244604372337
"[0.1, 0.1, 0.3, 0.5]",9.111222753631399,0.00660743405282421
"[0.1, 0.1, 0.3, 0.7]",9.111222753631399,0.005550244604372328
"[0.1, 0.1, 0.3, 0.9]",9.111222753631399,0.0023786762590167145
"[0.1, 0.1, 0.5, 0.1]",9.111222753631399,0.0030468929403062433
"[0.1, 0.1, 0.5, 0.3]",9.111222753631399,0.007109416860714554
"[0.1, 0.1, 0.5, 0.5]",9.111222753631399,0.008463591500850659
"[0.1, 0.1, 0.5, 0.7]",9.111222753631399,0.007109416860714553
"[0.1, 0.1, 0.5, 0.9]",9.111222753631399,0.0030468929403062385
"[0.1, 0.1, 0.7, 0.1]",9.111222753631399,0.0027401038806977645
"[0.1, 0.1, 0.7, 0.3]",9.111222753631399,0.006393575721628117
"[0.1, 0.1, 0.7, 0.5]",9.111222753631399,0.0076113996686049
"[0.1, 0.1, 0.7, 0.7]",9.111222753631399,0.006393575721628115
"[0.1, 0.1, 0.7, 0.9]",9.111222753631399,0.0027401038806977637
"[0.1, 0.1, 0.9, 0.1]",9.111222753631399,0.0012977227000988383
"[0.1, 0.1, 0.9, 0.3]",9.111222753631399,0.003028019633563956
"[0.1, 0.1, 0.9, 0.5]",9.111222753631399,0.0036047852780523274
"[0.1, 0.1, 0.9, 0.7]",9.111222753631399,0.0030280196335639546
"[0.1, 0.1, 0.9, 0.9]",9.111222753631399,0.0012977227000988373
"[0.1, 0.3, 0.1, 0.1]",9.111222753631399,0.002282096021617606
"[0.1, 0.3, 0.1, 0.3]",9.111222753631399,0.005324890717107713
"[0.1, 0.3, 0.1, 0.5]",9.111222753631399,0.006339155615604436
"[0.1, 0.3, 0.1, 0.7]",9.111222753631399,0.005324890717107708
"[0.1, 0.3, 0.1, 0.9]",9.111222753631399,0.0022820960216175935
"[0.1, 0.3, 0.3, 0.1]",9.111222753631399,0.005730286063397734
"[0.1, 0.3, 0.3, 0.3]",9.111222753631399,0.013370667481261384
"[0.1, 0.3, 0.3, 0.5]",9.111222753631399,0.015917461287215988
"[0.1, 0.3, 0.3, 0.7]",9.111222753631399,0.013370667481261384
"[0.1, 0.3, 0.3, 0.9]",9.111222753631399,0.0057302860633977465
"[0.1, 0.3, 0.5, 0.1]",9.111222753631399,0.007124687338692298
"[0.1, 0.3, 0.5, 0.3]",9.111222753631399,0.016624270456948694
"[0.1, 0.3, 0.5, 0.5]",9.111222753631399,0.019790798163034178
"[0.1, 0.3, 0.5, 0.7]",9.111222753631399,0.016624270456948677
"[0.1, 0.3, 0.5, 0.9]",9.111222753631399,0.007124687338692284
"[0.1, 0.3, 0.7, 0.1]",9.111222753631399,0.006393575721628118
"[0.1, 0.3, 0.7, 0.3]",9.111222753631399,0.014918343350465605
"[0.1, 0.3, 0.7, 0.5]",9.111222753631399,0.017759932560078098
"[0.1, 0.3, 0.7, 0.7]",9.111222753631399,0.014918343350465602
"[0.1, 0.3, 0.7, 0.9]",9.111222753631399,0.006393575721628114
"[0.1, 0.3, 0.9, 0.1]",9.111222753631399,0.003028019633563956
"[0.1, 0.3, 0.9, 0.3]",9.111222753631399,0.007065379144982563
"[0.1, 0.3, 0.9, 0.5]",9.111222753631399,0.008411165648788764
"[0.1, 0.3, 0.9, 0.7]",9.111222753631399,0.007065379144982561
"[0.1, 0.3, 0.9, 0.9]",9.111222753631399,0.0030280196335639538
"[0.1, 0.5, 0.1, 0.1]",9.111222753631399,0.002795549884250263
"[0.1, 0.5, 0.1, 0.3]",9.111222753631399,0.006522949729917259
"[0.1, 0.5, 0.1, 0.5]",9.111222753631399,0.007765416345139615
"[0.1, 0.5, 0.1, 0.7]",9.111222753631399,0.006522949729917263
"[0.1, 0.5, 0.1, 0.9]",9.111222753631399,0.002795549884250248
"[0.1, 0.5, 0.3, 0.1]",9.111222753631399,0.007005563237405413
"[0.1, 0.5, 0.3, 0.3]",9.111222753631399,0.016346314220612487
"[0.1, 0.5, 0.3, 0.5]",9.111222753631399,0.019459897881681582
"[0.1, 0.5, 0.3, 0.7]",9.111222753631399,0.016346314220612446
"[0.1, 0.5, 0.3, 0.9]",9.111222753631399,0.0070055632374053526
"[0.1, 0.5, 0.5, 0.1]",9.111222753631399,0.008700573158339442
"[0.1, 0.5, 0.5, 0.3]",9.111222753631399,0.02030133736945868
"[0.1, 0.5, 0.5, 0.5]",9.111222753631399,0.024168258773165016
"[0.1, 0.5, 0.5, 0.7]",9.111222753631399,0.020301337369458695
"[0.1, 0.5, 0.5, 0.9]",9.111222753631399,0.008700573158339324
"[0.1, 0.5, 0.7, 0.1]",9.111222753631399,0.007611399668604888
"[0.1, 0.5, 0.7, 0.3]",9.111222753631399,0.01775993256007808
"[0.1, 0.5, 0.7, 0.5]",9.111222753631399,0.021142776857235805
"[0.1, 0.5, 0.7, 0.7]",9.111222753631399,0.017759932560078077
"[0.1, 0.5, 0.7, 0.9]",9.111222753631399,0.0076113996686048594
"[0.1, 0.5, 0.9, 0.1]",9.111222753631399,0.0036047852780523282
"[0.1, 0.5, 0.9, 0.3]",9.111222753631399,0.008411165648788766
"[0.1, 0.5, 0.9, 0.5]",9.111222753631399,0.010013292439034243
"[0.1, 0.5, 0.9, 0.7]",9.111222753631399,0.008411165648788762
"[0.1, 0.5, 0.9, 0.9]",9.111222753631399,0.0036047852780523265
"[0.1, 0.7, 0.1, 0.1]",9.111222753631399,0.0024144277839228414
"[0.1, 0.7, 0.1, 0.3]",9.111222753631399,0.005633664829153276
"[0.1, 0.7, 0.1, 0.5]",9.111222753631399,0.006706743844230078
"[0.1, 0.7, 0.1, 0.7]",9.111222753631399,0.00563366482915327
"[0.1, 0.7, 0.1, 0.9]",9.111222753631399,0.002414427783922835
"[0.1, 0.7, 0.3, 0.1]",9.111222753631399,0.006039060175443297
"[0.1, 0.7, 0.3, 0.3]",9.111222753631399,0.01409114040936775
"[0.1, 0.7, 0.3, 0.5]",9.111222753631399,0.016775167154009066
"[0.1, 0.7, 0.3, 0.7]",9.111222753631399,0.01409114040936763
"[0.1, 0.7, 0.3, 0.9]",9.111222753631399,0.006039060175443305
"[0.1, 0.7, 0.5, 0.1]",9.111222753631399,0.007492275567317953
"[0.1, 0.7, 0.5, 0.3]",9.111222753631399,0.017481976323741877
"[0.1, 0.7, 0.5, 0.5]",9.111222753631399,0.02081187657588315
"[0.1, 0.7, 0.5, 0.7]",9.111222753631399,0.0174819763237419
"[0.1, 0.7, 0.5, 0.9]",9.111222753631399,0.007492275567317925
"[0.1, 0.7, 0.7, 0.1]",9.111222753631399,0.006547962777650889
"[0.1, 0.7, 0.7, 0.3]",9.111222753631399,0.01527857981451875
"[0.1, 0.7, 0.7, 0.5]",9.111222753631399,0.018188785493474684
"[0.1, 0.7, 0.7, 0.7]",9.111222753631399,0.015278579814518668
"[0.1, 0.7, 0.7, 0.9]",9.111222753631399,0.006547962777650903
"[0.1, 0.7, 0.9, 0.1]",9.111222753631399,0.0030280196335639538
"[0.1, 0.7, 0.9, 0.3]",9.111222753631399,0.007065379144982561
"[0.1, 0.7, 0.9, 0.5]",9.111222753631399,0.00841116564878876
"[0.1, 0.7, 0.9, 0.7]",9.111222753631399,0.007065379144982558
"[0.1, 0.7, 0.9, 0.9]",9.111222753631399,0.003028019633563953
"[0.1, 0.9, 0.1, 0.1]",9.111222753631399,0.0010799332219587382
"[0.1, 0.9, 0.1, 0.3]",9.111222753631399,0.0025198441845703896
"[0.1, 0.9, 0.1, 0.5]",9.111222753631399,0.0029998145054409365
"[0.1, 0.9, 0.1, 0.7]",9.111222753631399,0.0025198441845703796
"[0.1, 0.9, 0.1, 0.9]",9.111222753631399,0.0010799332219587358
"[0.1, 0.9, 0.3, 0.1]",9.111222753631399,0.0026935850472661086
"[0.1, 0.9, 0.3, 0.3]",9.111222753631399,0.00628503177695425
"[0.1, 0.9, 0.3, 0.5]",9.111222753631399,0.007482180686850262
"[0.1, 0.9, 0.3, 0.7]",9.111222753631399,0.006285031776954209
"[0.1, 0.9, 0.3, 0.9]",9.111222753631399,0.0026935850472660987
